Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Chen K.-Y., Chao K.-M.","Optimal algorithms for locating the longest and shortest segments satisfying a sum or an average constraint",2005,"Information Processing Letters","96","6",,"197","201",,16,10.1016/j.ipl.2005.08.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644536221&partnerID=40&md5=d6294cede02ef1ff4fa75f8a9926b637","Algorithms; Longest segment; Sequence analysis; Shortest segment","Constraint theory; Linear systems; Online systems; Problem solving; Linear time algorithms; Longest segments; Sequence analysis; Shortest segment; Algorithms",Article,Scopus,2-s2.0-27644536221
"Olsen D.P., Wang C.C., Sklar D., Huang B., Ahuja A.","Assessment of error propagation in ultraspectral sounder data via JPEG2000 compression and turbo coding",2005,"Proceedings of SPIE - The International Society for Optical Engineering","5889",, 58890E,"1","10",,7,10.1117/12.620471,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29244470509&partnerID=40&md5=76a0624a8d0b715828a70e79c1ae8c83","AIRS; Communications; Compression; Error correction; JPEG2000; Turbo product code; Ultraspectral sounder data","AIRS; Compression; JPEG2000; Turbo product code; Ultraspectral sounder data; Bit error rate; Data compression; Error correction; Fourier transform infrared spectroscopy; Robustness (control systems); Satellite communication systems; Turbo codes; Ultrasonics",Conference Paper,Scopus,2-s2.0-29244470509
"Ali M.H., Aref W.G., Nita-Rotaru C.","SPASS: Scable and Energy-efficient Acquisition in Sensor Databases",2005,"MobiDE 2005: Proceedings of the 4th ACM International Workshop on Data Engineering for Wireless and Mobile Access",,,,"81","88",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29244474914&partnerID=40&md5=940fd8859474d7ad8cf208ff5245a360","Data stream systems; Sensor databases; Sensor networks","Data stream systems; Sensor databases; Sensor networks; Database systems; Mobile telecommunication systems; Network protocols; Telecommunication networks; Sensors",Conference Paper,Scopus,2-s2.0-29244474914
"Swain J.P., Hart A.","Canned telemetry system for sensor data on parachute systems",2005,"Collection of Technical Papers - 18th AIAA Aerodynamic Decelerator Systems Technology Conference and Seminar",,,,"106","112",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144528875&partnerID=40&md5=13c2126c2f88b83dff51a368cf5942ff",,"Data collection systems; Data delivery system; Human test jumper; Telemetry data stream; Ammunition; Data mining; Data processing; Military operations; Parachutes; Real time systems; Telemetering",Conference Paper,Scopus,2-s2.0-29144528875
"Feng G., Zhang F., Wang G., Zhao Y., Shen X.","A language supporting function/architecture co-design of SoC",2005,"Proceedings of the 9th International Conference on Computer Supported Cooperative Work in Design","2",,,"899","902",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144481007&partnerID=40&md5=8e84b4d443067c868a7878728713915e","Configuration Stream; Data Stream; Function/architecture Co-design; Instruction Stream; System-on-Chip","Computation theory; Computer architecture; Computer programming languages; Computer supported cooperative work; Knowledge acquisition; Mapping; Microprocessor chips; Product design; Classification (of information); Computer aided design; Data structures; Formal languages; Knowledge based systems; Configuration stream; Data stream; Function/architecture co-design; Instruction stream; System-on-chip; Configuration Stream; Data Stream; Function/architecture Co-design; Instruction Stream; System-on-Chip; Computer aided design; Computer programming languages",Conference Paper,Scopus,2-s2.0-29144481007
"Yeh T.Y., Reinman G.","Fast and fair: Data-stream quality of service",2005,"CASES 2005: International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",,,,"237","248",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144463717&partnerID=40&md5=9667cd24292c3a8fa3c604f08343cf9d","Adaptive; Bandwidth; Cache; Chip multiprocessor; Cluster; CMP; Data-stream; Distributed; Embedded; Memory wall; Migration; Non-uniform access; NUCA; Partition; PDAS; Per thread degradation; Phase; QOS","Memory wall; Non-uniform access; Per thread degradation; Bandwidth; Buffer storage; Electric power utilization; Personal digital assistants; Quality of service; Societies and institutions; Microprocessor chips",Conference Paper,Scopus,2-s2.0-29144463717
"Jin G., Tang H.","Control transmission pace at IP layer to avoid packet drop",2005,"2004 IEEE Workshop on IP Operations and Management Proceedings, IPOM 2004: Self-Measurement and Self-Management of IP Networks and Services",,,,"60","66",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28844490185&partnerID=40&md5=57b6ceabb890ca558d5a0432e7e67268","Bandwidth; Delay; Loss; Measure; Network; Packet Drop Avoidance; PDA; Performance; QoS; Quality of Service","Delay; Loss; Measure; Network; Packet drop avoidance; PDA; Bandwidth; Congestion control (communication); Multimedia systems; Network protocols; Performance; Real time systems; Routers; Sensitivity analysis; Telecommunication traffic; Internet",Conference Paper,Scopus,2-s2.0-28844490185
"Wu H., Jiao S., Xu K., Lin J.","Application of QoS assembly algorithm in OBS networks using network processor",2005,"2004 IEEE Workshop on IP Operations and Management Proceedings, IPOM 2004: Self-Measurement and Self-Management of IP Networks and Services",,,,"152","156",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28844436897&partnerID=40&md5=745027d872dcbdc952c00ef6beb8d1c4","Assembly algorithm; IXP1200; Network Processor; OBS","Algorithms; Computational methods; Program processors; Quality of service; Queueing networks; Routers; Assembly algorithm; IXP1200; Network processor; OBS; Network protocols",Conference Paper,Scopus,2-s2.0-28844436897
"Cormode G., Muthukrishnan S., Korn F., Srivastava D.","Effective computation of biased quantiles over data streams",2005,"Proceedings - International Conference on Data Engineering",,,,"20","31",,10,10.1109/ICDE.2005.55,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28444498812&partnerID=40&md5=aa56a52ca96d019ce7da244b4f26ff98",,"Data sources; Data stream management systems; Quantiles problem; Skew; Data structures; Database systems; Error analysis; Internet; Problem solving; Security of data; Computation theory",Conference Paper,Scopus,2-s2.0-28444498812
"Lu Y.I.-H., Huang Y.","Mining data streams using clustering",2005,"2005 International Conference on Machine Learning and Cybernetics, ICMLC 2005",,,,"2079","2083",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28444440581&partnerID=40&md5=81c9cf022d1b9a1da8ceb76e0abe6523","Data stream; K-Means algorithm; Minining Data Streams; Regression Analysis; Statistical grid-based algorithm","Algorithms; Regression analysis; Statistical methods; Data streams; K-Means; Data mining",Conference Paper,Scopus,2-s2.0-28444440581
